CID,C4_3_N3_2_2*(1-FC_16_C4_0_N3_1_H1_2_H1_2_/_1_1_1_/_0_0_0_0),FC_13_C4_0_H1_1_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_1_/_0_0_0_0_0_0*(1-n),C4_3_N3_2_1*(1-FC_40_C4_0_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0),LeafAC_C4_C4_2*(1-FC_514_C4_0_Cl1_1_Cl1_1_C4_1_H1_2_Cl1_2_Cl1_2_/_1_1_1_1_1_1_/_0_0_0_0_0_0_0),C4_3_C4_3_1*(1-FC_9_C4_0_Cl1_1_/_1_/_0_0),dg_in_2*(1-C4_2_C4_2_2),na_ex_N3*C4_2_C4_3_2,na_ex_S6*(1-FC_127_C4_0_H1_1_H1_1_S6_1_O2_2_O2_2_O2_2_/_1_1_1_1_2_2_/_0_0_0_0_-1_0_0),FC_16_C4_0_N3_1_H1_2_H1_2_/_1_1_1_/_0_0_0_0*(1-na_ex_N3),FC_30_C4_0_H1_1_H1_1_N3_1_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0*(1-FC_329_C4_0_H1_1_H1_1_C4_1_Cl1_2_C4_2_H1_3_H1_3_/_1_1_1_1_2_1_1_/_0_0_0_0_0_0_0_0),FC_5_O2_0_/_/_0*(1-na_in_O2),N3_2_N3_2_2*(1-FC_237_O2_0_C4_1_H1_2_O2_2_/_1_1_2_/_0_0_0_0),C4_2_C4_3_2*(1-C4_3_S2_2_1),LeafAC_N3_C4_1*(1-FC_495_C4_0_O2_1_N3_1_H1_2_H1_2_/_2_1_1_1_/_0_0_0_0_0),N3_2_S6_4_1*(1-LeafAC_Cl1_N2_1),FC_3_C4_0_/_/_0*(1-C4_2_C4_3_1),C4_2_C4_3_2*(1-C4_2_C4_3_2),dg_in_3*(1-C4_2_N3_2_2),na_ex_C4*(1-FC_6_N3_0_/_/_0),C4_2_O2_2_1*(1-LeafAC_O2_N3_2),C4_2_C4_2_2*C4_2_C4_2_2,C4_2_C4_4_1*(1-FC_481_C4_0_H1_1_H1_1_C4_1_O2_2_C4_2_H1_3_H1_3_H1_3_C4_1_O2_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_2_1_1_1_1_1_2_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0),FC_12_C4_0_H1_1_H1_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0*(1-C4_2_C4_3_2),LeafAC_C4_C4_1*(1-FC_5_O2_0_/_/_0),FC_3_C4_0_/_/_0*(1-FC_3_C4_0_/_/_0),C4_2_N4_4_1*(1-FC_406_O2_0_S6_1_O2_2_O2_2_N3_2_H1_3_H1_3_/_1_2_2_1_1_1_/_0_0_0_0_0_0_0),FC_21_C4_0_H1_1_H1_1_C4_1_O2_2_O2_2_H1_3_/_1_1_1_2_1_1_/_0_0_0_0_0_0_0*(1-N2_2_S6_4_1),C4_2_C4_2_2*LeafAC_O2_N4_2,FC_15_C4_0_O2_1_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_/_0_0_0_0_0_0*(1-FC_30_C4_0_H1_1_H1_1_N3_1_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0),C4_3_C4_4_1*C4_3_C4_4_1,na_ex_O2*(1-dg_in_3),FC_9_C4_0_Cl1_1_/_1_/_0_0*(1-FC_30_C4_0_H1_1_H1_1_N3_1_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0),LeafAC_O2_C4_2*(1-C4_2_C4_4_1),FC_29_C4_0_H1_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0*(1-N3_3_O2_2_1),C4_3_S2_2_1*(1-C4_2_C4_2_2),C4_2_C4_2_2*FC_16_C4_0_N3_1_H1_2_H1_2_/_1_1_1_/_0_0_0_0,FC_18_C4_0_C4_1_H1_2_H1_2_H1_2_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0*(1-FC_489_N3_0_C4_1_S2_2_S2_2_/_1_1_2_/_0_0_-1_0),C4_2_C4_2_2*(1-rank),FC_10_C4_0_H1_1_O2_1_H1_2_/_1_1_1_/_0_0_0_0*(1-FC_49_C4_0_H1_1_O2_1_H1_2_C4_1_H1_2_H1_2_O2_2_H1_3_/_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0),FC_2_C4_0_H1_1_H1_1_/_1_1_/_0_0_0*(1-FC_156_N3_0_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_/_1_0_0_0_0_0_0_0),na_ex_N3*(1-bd_in_2),na_in_N3*(1-C4_2_C4_2_2),ms*(1-FC_6_N3_0_/_/_0),dg_4*(1-FC_208_O2_0_N3_1_O2_2_/_1_2_/_0_0_0),C4_2_C4_2_2*(1-C4_2_N3_3_1),C4_2_N3_2_2*(1-C4_4_S6_4_1),FC_16_C4_0_N3_1_H1_2_H1_2_/_1_1_1_/_0_0_0_0*(1-na_ex_O1),na_in_N4*(1-FC_40_C4_0_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0),na_in_O2*(1-na_ex_Cl1),FC_20_C4_0_H1_1_H1_1_C4_1_H1_2_H1_2_O2_2_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0*(1-FC_477_C4_0_C4_1_H1_2_H1_2_Cl1_2_C4_1_H1_2_H1_2_Cl1_2_/_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0)
22,0.0,0.0,0.0714286,0.0,0.0,0.11193999999999994,0.02500005,0.0,0.20833325,0.0,0.0,0.333333,0.15,0.2,0.0,0.102941125,0.1275,0.0714286,0.0,0.0,0.140625,0.0,0.0,0.0,0.10380618339099999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09375,0.0,0.321428625,0.0,0.0,0.12777808888900002,0.06944437499999995,0.11304900000000001,0.0,0.375,0.0,0.25,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.1171875,0.14365662499999998,0.04166675,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.15441212499999998,0.1875,0.1428569999999999,0.03125,0.0,0.015625,0.0,0.0,0.0,0.14532898615899997,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.09821425,0.0,0.0263158,0.13333360000000002,0.0,0.19698,0.0,0.125,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0234375,0.1791039999999999,0.0,0.0,0.0,0.0,0.05859375,0.0,0.15,0.0,0.0,0.036764687500000004,0.1275,0.1428569999999999,0.03125,0.0,0.0,0.0,0.0,0.0,0.05536329584775,0.0,0.0,0.0,0.0,0.0,0.024489775510200002,0.25,0.0714286,0.0,0.0,0.0,0.0,0.0,0.0,0.105263,0.0,0.0555556,0.192322,0.0,0.0,0.0,0.0,0.0,0.0520833125,0.0
25,0.0,0.0,0.0,0.0,0.0546875,0.1567159999999999,0.04166675,0.0,0.0,0.333333,0.0,0.0,0.25,0.0,0.0,0.20588225,0.1875,0.178571,0.0546875,0.0,0.015625,0.0,0.0,0.0,0.179930733564,0.0,0.0,0.0,0.0,0.0,0.0,0.083333375,0.0,0.0,0.0,0.0,0.0,0.09821425,0.0,0.105263,0.13333360000000002,0.04861115,0.10813425,0.0,0.1145833375,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.03125,0.078358175,0.016666700000000003,0.166667,0.20833325,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.09000000000000001,0.0,0.0,0.0,0.015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0857143,0.0,0.0,0.0,0.0,0.03125,0.0,0.116071425,0.0,0.0,0.1500003,0.0,0.244301,0.0,0.125,0.0,0.25,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15625,0.0,0.0,0.0,0.0,0.176471,0.0,0.0,0.0,0.0,0.0,0.0,0.0571428999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0489253,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.21875,0.0,0.0,0.0,0.0,0.294118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166667,0.0,0.014128,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15625,0.0,0.0,0.0,0.0,0.176471,0.0,0.0,0.0,0.0,0.0,0.0,0.0285714,0.0,0.0714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0443035,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.117647,0.0,0.0,0.0,0.0,0.0,0.0,0.0285714,0.0,0.0714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049448,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.10714274999999993,0.0,0.107143,0.0,0.03125,0.09141825,0.016666700000000003,0.0,0.20833325,0.0,0.0,0.0,0.1,0.2,0.0,0.117647,0.09000000000000001,0.0714286,0.0,0.0,0.015625,0.0,0.0,0.0,0.10380618339099999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.0,0.10714287500000001,0.0,0.0,0.14444478888900003,0.09722212499999991,0.1418165,0.0,0.125,0.0,0.25,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0,0.03515625,0.0895522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0285714,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.743401,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0,0.03125,0.074627,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1078430872549,0.09000000000000001,0.0714286,0.0,0.0,0.25,0.0,0.0,0.0,0.10380618339099999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42857150000000005,0.0,0.0,0.0,0.0,0.124195,0.0,0.5,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0714286,0.0,0.0234375,0.0895522,0.02500005,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.05637251887255,0.1275,0.0357143,0.03125,0.0,0.0,0.0,0.0,0.0,0.05536329584775,0.0,0.0,0.0,0.0,0.0,0.027550992448980002,0.25,0.0714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1500003,0.0555556,0.281465,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0357143,0.0,0.02734375,0.0746269,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.05637251887255,0.1275,0.0357143,0.09375,0.0,0.0,0.0,0.0,0.117647,0.05536329584775,0.0,0.0,0.0,0.0,0.0,0.027550992448980002,0.125,0.0714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0555556,0.185665,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0714286,0.0,0.0,0.0746269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.5,0.117647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0526316,0.0,0.1111109999999999,0.0724471,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0714286,0.0,0.0,0.0746269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.5,0.117647,0.0,0.0,0.0,0.0,0.0,0.0,0.0285714,0.0,0.0714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0526316,0.0,0.1111109999999999,0.049448,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0,0.0,0.055970175,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.05637251887255,0.0475,0.0357143,0.1875,0.0,0.0625,0.0,0.0,0.235294,0.05536329584775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23214285,0.0,0.0,0.0,0.0416667,0.0566352,0.0,0.25,0.0,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0,0.0,0.078358175,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.09000000000000001,0.0,0.09375,0.0,0.015625,0.0,0.0,0.117647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.116071425,0.0,0.0,0.0,0.0,0.0650545,0.0,0.125,0.0,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0,0.0,0.20895524999999998,0.0,0.0,0.0,0.0,0.05859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.015625,0.0,0.25,0.05514703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0857143,0.0,0.0714286,0.0,0.0,0.0,0.0,0.125,0.0,0.315789,0.0,0.0,0.0541363,0.0,0.125,0.0,0.0,0.0,0.0625,0.0
43,0.0,0.0,0.0,0.0,0.03125,0.16977625000000002,0.0,0.0,0.0,0.0,0.05859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0357143,0.0625,0.0,0.015625,0.0,0.25,0.05514703125,0.0,0.0,0.0,0.0,0.0,0.0,0.055102081326529904,0.0,0.1428569999999999,0.0,0.0,0.0,0.0,0.116071425,0.0,0.210526,0.0,0.0,0.0741081,0.0,0.125,0.0,0.0,0.0,0.0625,0.0
